pl_name,hostname,ra,dec,sy_dist,disc_year,discoverymethod,disc_facility,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_insol,st_teff,sy_pnum,method,survey,has_distance,kepler_offset_deg,x_pc,y_pc,z_pc,within_2000_pc
GJ 251 b,GJ 251,103.7002499,33.2664632,5.58057,2020,Radial Velocity,W. M. Keck Observatory,1.79,3.85,14.237,336.0,2.37,3342.0,2,Radial Velocity,Radial Velocity,True,101.97553923358134,-1.11,4.53,3.06,True
TOI-1438 b,TOI-1438,280.9237844,74.9378327,110.513,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),3.04,9.4,5.13967,971.0,145.0,5230.0,2,Transit,TESS,True,30.738834123396334,5.44,-28.2,106.72,True
GJ 536 c,GJ 536,210.2597264,-2.6522901,10.4092,2025,Radial Velocity,Multiple Facilities,2.3,5.89,32.761,290.5,1.692,3641.0,2,Radial Velocity,Radial Velocity,True,85.0491804948289,-8.98,-5.24,-0.48,True
TOI-1438 c,TOI-1438,280.9237844,74.9378327,110.513,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),2.75,10.6,9.428089,794.0,65.0,5230.0,2,Transit,TESS,True,30.738834123396334,5.44,-28.2,106.72,True
Kepler-391 c,Kepler-391,290.6218844,51.0573453,869.236,2014,Transit,Kepler,2.88,450.0,20.501,662.0,179.0,5038.0,2,Transit,Kepler,True,6.557414105494019,192.42,-511.34,676.07,True
TOI-756 b,TOI-756,192.103738,-45.4704709,86.1759,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),2.81,9.83,1.2392495,934.0,127.0,3657.0,2,Transit,TESS,True,125.03987254534367,-59.09,-12.67,-61.43,True
TOI-756 c,TOI-756,192.103738,-45.4704709,86.1759,2025,Radial Velocity,La Silla Observatory,13.0,1287.20504835,149.4,194.0,0.24,3657.0,2,Radial Velocity,Radial Velocity,True,125.03987254534367,-59.09,-12.67,-61.43,True
HD 224018 d,HD 224018,358.6390056,-4.7233362,105.48,2025,Transit,K2,2.4,4.2,138.0731,411.0,4.7348,5784.0,3,Transit,K2,True,77.94306974862296,105.09,-2.5,-8.69,True
TOI-2141 c,TOI-2141,258.7623456,18.3403449,77.682,2025,Radial Velocity,Roque de los Muchachos Observatory,2.35,6.14,5.4624,1095.0,241.0,5635.0,3,Radial Velocity,Radial Velocity,True,37.317097646109026,-14.37,-72.32,24.44,True
TOI-6448 b,TOI-6448,110.1704109,-33.9223285,386.879,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),8.47398941,54.0,14.844261,745.0,28.1152,5910.0,1,Transit,TESS,True,169.41540080574973,-110.7,301.34,-215.9,True
K2-214 b,K2-214,14.8759777,4.2277722,300.64,2018,Transit,K2,2.51,6.85,8.59656,1001.0,238.0,5875.0,1,Transit,K2,True,82.90933041722285,289.77,76.97,22.16,True
51 Eri b,51 Eri,69.4007424,-2.4738245,29.7575,2015,Imaging,Gemini Observatory,,3464.3296363,9100.0,807.0,0.0529,7422.0,1,Imaging,Imaging,True,124.46291977019733,10.46,27.83,-1.28,True
TOI-1203.01,TOI-1203,168.2267358,-34.4069371,64.9943,2021,Transit,Transiting Exoplanet Survey Satellite (TESS),2.918,7.39,25.502672,743.6,51.0,5737.0,4,Transit,TESS,True,135.37517653323735,-52.5,10.94,-36.73,True
TOI-2093 c,TOI-2093,302.7375229,70.8696532,82.7982,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),2.3,15.8,53.81149,329.0,3.0647,4426.0,2,Transit,TESS,True,27.028701185922603,14.67,-22.82,78.23,True
KMT-2024-BLG-1209L b,KMT-2024-BLG-1209L,261.6129583,-28.1205611,3930.0,2025,Microlensing,KMTNet,13.2,839.06699448,,,,,1,Microlensing,Microlensing,True,77.31794162111545,-505.56,-3429.03,-1852.32,False
HD 135344 A b,HD 135344 A,228.9538416,-37.1489176,141.595,2025,Imaging,Paranal Observatory,16.25302201,3178.28407,,1585.0,0.061,9540.0,1,Imaging,Imaging,True,98.85067809323156,-74.11,-85.12,-85.51,True
K2-10 b,K2-10,172.1216476,1.6906217,272.36,2015,Transit,K2,3.773,25.2,19.30553,649.0,42.1,5533.0,1,Transit,K2,True,108.66289094055531,-269.67,37.32,8.04,True
TOI-1203 b,TOI-1203,168.2267358,-34.4069371,64.9943,2025,Radial Velocity,La Silla Observatory,1.52,3.51,4.1572888,1361.2,572.2,5737.0,4,Radial Velocity,Radial Velocity,True,135.37517653323735,-52.5,10.94,-36.73,True
TOI-1203 c,TOI-1203,168.2267358,-34.4069371,64.9943,2025,Radial Velocity,La Silla Observatory,2.2,5.46,13.0766,,,5737.0,4,Radial Velocity,Radial Velocity,True,135.37517653323735,-52.5,10.94,-36.73,True
HIP 18606 b,HIP 18606,59.7181058,-5.4706979,47.0288,2025,Radial Velocity,Multiple Observatories,14.0,244.72787339,674.94,405.91,4.4294,4860.0,1,Radial Velocity,Radial Velocity,True,120.93970487624402,23.61,40.43,-4.48,True
HIP 111909 c,HIP 111909,340.0304354,-49.5985391,88.077,2025,Radial Velocity,Multiple Observatories,13.9,257.44100967,893.63,357.64,2.6982,4891.0,2,Radial Velocity,Radial Velocity,True,103.45561201075515,53.65,-19.5,-67.07,True
TIC 257060897 b,TIC 257060897,227.5321527,72.7103128,505.703,2021,Transit,Transiting Exoplanet Survey Satellite (TESS),17.26183028,201.50321004,3.66003639,1775.0,1804.5549,5993.0,1,Transit,TESS,True,40.0902157021695,-101.48,-110.87,482.85,True
OGLE-2016-BLG-1266L b,OGLE-2016-BLG-1266L,267.8535833,-29.74225,3080.0,2018,Microlensing,OGLE,12.4,3813.940884,,,,,1,Microlensing,Microlensing,True,77.10728208920617,-100.16,-2672.38,-1527.99,False
BD+37 3172 b,BD+37 3172,278.8155071,38.1153886,454.251,2023,Radial Velocity,McDonald Observatory,12.4,3368.9811142,1887.76,713.25,31.9959,4500.0,1,Radial Velocity,Radial Velocity,True,10.937053195929137,54.77,-353.17,280.39,True
TOI-654.01,TOI-654,164.7245509,-5.5475446,57.7553,2024,Transit,Transiting Exoplanet Survey Satellite (TESS),2.378,8.71,1.527561,794.0,65.0,3521.0,1,Transit,TESS,True,118.97660852497246,-55.45,15.14,-5.58,True
K2-37 b,K2-37,243.4509662,-24.7870527,179.943,2016,Transit,K2,1.39,2.51,4.4434,949.0,193.0,5352.0,3,Transit,K2,True,81.60590546442712,-73.02,-146.14,-75.44,True
K2-37 d,K2-37,243.4509662,-24.7870527,179.943,2016,Transit,K2,2.31,12.5,14.09229,646.0,41.3,5352.0,3,Transit,K2,True,81.60590546442712,-73.02,-146.14,-75.44,True
K2-55 b,K2-55,333.7518786,-17.2508002,159.522,2016,Transit,K2,4.43,44.0,2.849271,900.0,141.3,4300.0,1,Transit,K2,True,73.16457654979268,136.64,-67.38,-47.31,True
TOI-5261 b,TOI-5261,305.4585453,19.4358468,377.054,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),11.60129502,3651.84839643,4.1509768,1244.0,159.592,5790.0,1,Transit,TESS,True,27.927163174322477,206.27,-289.62,125.47,True
TOI-4773 b,TOI-4773,114.9426489,-21.4856184,492.888,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),15.22179579,1687.66884117,1.7452851,2255.0,3879.8071,6740.0,1,Transit,TESS,True,156.71637510487366,-193.41,415.86,-180.53,True
BD+42 2315 b,BD+42 2315,187.5887597,41.2695674,610.715,2023,Radial Velocity,McDonald Observatory,14.2,174.80562385,123.05,1247.58,335.1294,4500.0,1,Radial Velocity,Radial Velocity,True,70.0611405525275,-455.0,-60.62,402.83,True
Ross 176 b,Ross 176,305.6897438,47.3086191,46.4488,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),1.84,4.57,5.0066338,682.0,36.2,4041.0,1,Transit,TESS,True,10.805430709235349,18.37,-25.58,34.14,True
K2-62 c,K2-62,334.3645089,-12.1874776,112.467,2016,Transit,K2,1.99,4.62,16.19697,495.0,14.3,4455.0,2,Transit,K2,True,69.14013908768497,99.11,-47.56,-23.74,True
K2-61 b,K2-61,339.6748444,-13.5600447,405.732,2016,Transit,K2,1.92,4.35,2.57336,1325.0,730.0,5748.0,1,Transit,K2,True,73.11342192194948,369.86,-137.0,-95.13,True
TOI-6420 b,TOI-6420,125.5443036,-19.1242852,634.712,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),11.93756445,2606.1929374,6.961508,1213.0,106.619,6020.0,1,Transit,TESS,True,151.7542692518919,-348.61,487.94,-207.94,True
TOI-5350 b,TOI-5350,74.4023015,21.6019759,277.419,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),12.41955062,2094.48920213,7.581367,1195.0,321.879,6220.0,1,Transit,TESS,True,106.06062856884023,69.35,248.44,102.13,True
TOI-5817 b,TOI-5817,322.3777987,21.474527,80.7542,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),3.08,10.3,15.61031,950.0,126.8632,5770.0,1,Transit,TESS,True,34.79075313184778,59.52,-45.87,29.56,True
K2-73 b,K2-73,335.025662,-9.0560881,269.183,2016,Transit,K2,2.58,9.2,7.49556,968.0,209.0,5867.0,2,Transit,K2,True,66.84159565830775,240.97,-112.24,-42.37,True
TOI-5799 b,TOI-5799,301.630179,15.9891418,27.8123,2024,Transit,Transiting Exoplanet Survey Satellite (TESS),1.733,3.65,4.164507,505.0,11.91,3452.0,2,Transit,TESS,True,29.978557468359323,14.02,-22.76,7.66,True
TOI-1346 b,TOI-1346,256.6226752,68.8433031,115.45,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),2.39,6.3,1.7622538,1324.0,468.5415,5099.0,2,Transit,TESS,True,29.891451208686522,-9.64,-40.54,107.67,True
TOI-1346 c,TOI-1346,256.6226752,68.8433031,115.45,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),2.23,5.6,5.502558,928.0,102.6644,5099.0,2,Transit,TESS,True,29.891451208686522,-9.64,-40.54,107.67,True
K2-105 b,K2-105,125.4202985,13.4975122,197.989,2017,Transit,K2,3.4,15.4,8.26726,805.0,100.0,5373.0,1,Transit,K2,True,120.47016907482646,-111.58,156.89,46.21,True
TOI-5799 c,TOI-5799,301.630179,15.9891418,27.8123,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),1.76,3.75,14.010449,337.0,2.4202,3452.0,2,Transit,TESS,True,29.978557468359323,14.02,-22.76,7.66,True
TOI-6223 b,TOI-6223,355.9505977,33.0672361,133.122,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),5.07,22.6,3.855219,714.0,41.8646,3895.0,1,Transit,TESS,True,50.77593968337959,111.28,-7.88,72.63,True
KOI-351 g,KOI-351,284.4334642,49.3051239,848.254,2013,Transit,Kepler,7.718,15.0,210.73514,342.0,3.387,6031.13,8,Transit,Kepler,True,6.416385754898188,137.86,-535.63,643.14,True
HD 63433 c,HD 63433,117.4793699,27.3631342,22.4035,2020,Transit,Transiting Exoplanet Survey Satellite (TESS),2.692,15.539,20.5438281,678.92,35.3582,5553.0,3,Transit,TESS,True,107.86741521476954,-9.18,17.65,10.3,True
HD 17156 b,HD 17156,42.4366123,71.7530882,78.0863,2007,Radial Velocity,Subaru Telescope,12.26262489,1036.12060682,21.2164294,888.0,68.8,6046.0,1,Radial Velocity,Radial Velocity,True,54.34967542350529,18.04,16.5,74.16,True
TOI-6000 b,TOI-6000,292.6062979,68.1545924,75.7664,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),0.94,0.779,0.448959,1120.0,258.7482,3419.0,1,Transit,TESS,True,23.676297546330655,10.84,-26.03,70.33,True
K2-189 c,K2-189,203.6214411,-15.0365158,242.113,2018,Transit,K2,2.31,5.95,6.67932,877.0,140.0,5442.0,2,Transit,K2,True,98.41447552180699,-214.23,-93.69,-62.81,True
KMT-2024-BLG-0404L b,KMT-2024-BLG-0404L,271.1470833,-27.9535,7210.0,2025,Microlensing,KMTNet,11.9,8657.64580668,,,,,2,Microlensing,Microlensing,True,74.61701221697658,127.5,-6367.52,-3379.72,False
KMT-2024-BLG-1281L b,KMT-2024-BLG-1281L,270.169375,-32.71425,7180.0,2025,Microlensing,KMTNet,4.59,19.06970442,,,,,1,Microlensing,Microlensing,True,79.43726646442211,17.86,-6041.06,-3880.43,False
GJ 317 b,GJ 317,130.2445254,-23.452809,15.1968,2007,Radial Velocity,W. M. Keck Observatory,13.3,794.5,695.69,100.32,0.0159,3496.0,2,Radial Velocity,Radial Velocity,True,153.56711875843558,-9.01,10.64,-6.05,True
TOI-6303 b,TOI-6303,46.7806502,40.147174,152.219,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),11.59,2493.0,9.485236,541.0,14.28,3977.0,1,Transit,TESS,True,77.76402019261018,79.68,84.79,98.14,True
LHS 1903 d,LHS 1903,107.865826,48.3279327,35.6917,2026,Transit,Transiting Exoplanet Survey Satellite (TESS),2.5,5.96,12.566287,442.0,6.35,3664.0,4,Transit,TESS,True,87.13956907064336,-7.28,22.59,26.66,True
LHS 1903 e,LHS 1903,107.865826,48.3279327,35.6917,2026,Transit,CHaracterising ExOPlanets Satellite (CHEOPS),1.732,5.79,29.31773,333.0,2.05,3664.0,4,Transit,Other transit,True,87.13956907064336,-7.28,22.59,26.66,True
WASP-120 b,WASP-120,62.6160813,-45.8982434,381.174,2016,Transit,SuperWASP,15.58048317,1541.4755,3.61126721,1749.0,1818.5489,6450.0,1,Transit,Other transit,True,146.63048666683775,122.01,235.55,-273.72,True
WASP-140 b,WASP-140,60.3855387,-20.4509991,117.598,2016,Transit,SuperWASP-South,14.23540549,775.5052,2.23598448,1270.0,491.326,5300.0,1,Transit,Other transit,True,132.21825351881242,54.45,95.79,-41.09,True
HD 85426 c,TOI-1774,148.1619305,35.111008,53.974,2026,Radial Velocity,Multiple Observatories,3.19,10.3,35.73,640.0,,5746.0,2,Radial Velocity,Radial Velocity,True,93.42765932164194,-37.51,23.29,31.04,True
TOI-1774.01,TOI-1774,148.1619305,35.111008,53.974,2021,Transit,Transiting Exoplanet Survey Satellite (TESS),2.78,8.5,16.70988,824.0,73.7609,5746.0,2,Transit,TESS,True,93.42765932164194,-37.51,23.29,31.04,True
HD 176986 b,HD 176986,285.7739138,-11.044941,27.7843,2017,Radial Velocity,Multiple Observatories,,1487.75477317,6.49164,767.0,81.7,4931.0,3,Radial Velocity,Radial Velocity,True,55.72200531917627,7.41,-26.24,-5.32,True
KOINTREAU-3 b,ISO-Oph 96,246.7687845,-24.716683,140.563,2026,Imaging,W. M. Keck Observatory,13.1,1080.6165838,,8.74,0.0,3920.0,1,Imaging,Imaging,True,79.99150499847399,-50.36,-117.33,-58.77,True
PDS 70 b,PDS 70,212.0421402,-41.3980405,113.064,2018,Imaging,Paranal Observatory,21.96960217,1017.0509024,43500.0,1392.0,0.0008,4109.0,2,Imaging,Imaging,True,110.97577668468094,-71.89,-45.0,-74.77,True
HD 176986 d,HD 176986,285.7739138,-11.044941,27.7843,2026,Radial Velocity,Multiple Observatories,2.49,6.76,61.376,363.0,4.09,4931.0,3,Radial Velocity,Radial Velocity,True,55.72200531917627,7.41,-26.24,-5.32,True
TOI-6692 b,TOI-6692,312.6940436,-81.2723982,312.903,2026,Transit,Transiting Exoplanet Survey Satellite (TESS),11.67975789,197.05361234,131.125,467.0,182.3533,5890.0,1,Transit,TESS,True,126.33226150391343,32.19,-34.9,-309.28,True
TOI-4342 b,TOI-4342,324.3894196,-77.9791468,61.5204,2023,Transit,Transiting Exoplanet Survey Satellite (TESS),2.329,7.3,5.5382592,639.0,27.8,3866.0,2,Transit,TESS,True,124.19339440103515,10.42,-7.46,-60.17,True
PDS 70 c,PDS 70,212.0421402,-41.3980405,113.064,2019,Imaging,European Southern Observatory,22.19378179,2383.7130525,,1054.0,0.0003,4109.0,2,Imaging,Imaging,True,110.97577668468094,-71.89,-45.0,-74.77,True
V2376 Ori b,V2376 Ori,83.839818,-5.3515552,,2025,Imaging,Multiple Observatories,87.20586985,6356.56814,,2100.0,,,1,Imaging,Imaging,False,134.35350443348537,,,,False
TOI-5489 b,TOI-5489,128.691294,11.4895882,45.0907,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),1.4,2.54,3.15222,624.0,25.1137,3547.0,2,Transit,TESS,True,121.67102728572974,-27.62,34.49,8.98,True
HD 208487 b,HD 208487,329.3332489,-37.7641354,45.147,2004,Radial Velocity,Anglo-Australian Telescope,14.3,146.20106722,129.36,437.59,6.0876,6134.0,1,Radial Velocity,Radial Velocity,True,89.3693051424473,30.7,-18.2,-27.65,True
HD 181433 b,HD 181433,291.2873731,-66.4677838,26.8762,2008,Radial Velocity,La Silla Observatory,,1708.64551603,9.3745,732.52,51.0227,4918.0,3,Radial Velocity,Radial Velocity,True,110.96880904575055,3.9,-10.0,-24.64,True
TOI-1135 b,TOI-1135,193.3963704,85.1294952,114.048,2024,Transit,Transiting Exoplanet Survey Satellite (TESS),9.91994792,58.79825529,8.0277327,1171.0,310.0,6320.0,1,Transit,TESS,True,46.31328764044476,-9.42,-2.24,113.64,True
TOI-5716 b,TOI-5716,201.9007989,73.1774325,39.4122,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),0.96,0.84,6.7663,400.0,3.4093,3436.0,1,Transit,TESS,True,47.51788474720214,-10.58,-4.25,37.73,True
HD 181433 d,HD 181433,291.2873731,-66.4677838,26.8762,2008,Radial Velocity,La Silla Observatory,13.2,858.1366989,6896.1,81.19,0.0077,4918.0,3,Radial Velocity,Radial Velocity,True,110.96880904575055,3.9,-10.0,-24.64,True
HD 181433 c,HD 181433,291.2873731,-66.4677838,26.8762,2008,Radial Velocity,La Silla Observatory,,2207.00045821,1018.5,153.53,0.0984,4918.0,3,Radial Velocity,Radial Velocity,True,110.96880904575055,3.9,-10.0,-24.64,True
DMPP-1 b,DMPP-1,86.7761233,-10.6303217,62.5388,2019,Radial Velocity,La Silla Observatory,4.26,16.8,17.812,877.0,103.0711,6196.0,4,Radial Velocity,Radial Velocity,True,140.37591635424604,3.46,61.37,-11.54,True
HD 202206 b,HD 202206,318.7405221,-20.7897284,45.9665,2026,Radial Velocity,La Silla Observatory,12.1,6849.20217085,256.26,314.96,1.6613,5764.23,2,Radial Velocity,Radial Velocity,True,70.14905587331639,32.3,-28.34,-16.32,True
TOI-4940 b,TOI-4940,58.2511684,-62.4079681,345.659,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),6.61,89.0,25.867811,643.0,40.4612,5504.0,1,Transit,TESS,True,145.35488099088332,84.24,136.14,-306.35,True
TOI-5734 b,TOI-5734,111.2558179,37.2311218,32.5102,2026,Transit,Transiting Exoplanet Survey Satellite (TESS),2.1,9.1,6.1841876,688.0,56.3778,4750.0,1,Transit,TESS,True,98.26714019689292,-9.38,24.12,19.67,True
GJ 480 b,GJ 480,189.7134226,11.6950708,14.2358,2020,Radial Velocity,Multiple Observatories,2.91,8.8,9.5536,406.0,5.929,3509.0,1,Radial Velocity,Radial Velocity,True,89.46334444951117,-13.74,-2.35,2.89,True
DMPP-1 d,DMPP-1,86.7761233,-10.6303217,62.5388,2019,Radial Velocity,La Silla Observatory,2.02,4.72,3.1417,1632.0,1045.9594,6196.0,4,Radial Velocity,Radial Velocity,True,140.37591635424604,3.46,61.37,-11.54,True
DMPP-2 b,DMPP-2,27.407731,-34.4590985,137.94,2019,Radial Velocity,Multiple Facilities,14.2,171.48,5.203,1000.0,288.2234,6500.0,3,Radial Velocity,Radial Velocity,True,117.75028001147471,100.97,52.35,-78.05,True
K2-19 d,K2-19,174.9602543,0.603596,289.827,2016,Transit,K2,1.044,6.2,2.50827,1258.0,404.0,5350.0,3,Transit,K2,True,107.5764999502071,-288.69,25.46,3.05,True
NGTS-35 b,NGTS-35,170.276336,-26.0666162,183.078,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),10.9,152.0,25.241192,451.0,9.8437,4717.0,1,Transit,TESS,True,129.20627617114226,-162.09,27.78,-80.45,True
TOI-2267 c,TOI-2267 A,65.0614963,84.9008238,22.55,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),1.14,1.55,3.4950412,374.0,4.7,3030.0,3,Transit,TESS,True,49.17239975377547,0.85,1.82,22.46,True
TOI-2267 b,TOI-2267 A,65.0614963,84.9008238,22.55,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),1.0,0.972,2.28909,424.0,8.4,3030.0,3,Transit,TESS,True,49.17239975377547,0.85,1.82,22.46,True
HD 39194 c,HD 39194,86.129071,-70.1382377,26.4131,2021,Radial Velocity,La Silla Observatory,2.65,7.49,14.0309,675.19,33.2512,5205.0,3,Radial Velocity,Radial Velocity,True,151.60125507764323,0.61,8.95,-24.84,True
DMPP-3 A b,DMPP-3 A,91.6243532,-72.5143057,46.8917,2019,Radial Velocity,La Silla Observatory,1.44,2.67,5.59,854.0,142.7812,5138.0,1,Radial Velocity,Radial Velocity,True,150.58705535300956,-0.4,14.08,-44.72,True
TOI-5007 b,TOI-5007,236.0638704,-61.0413649,203.352,2026,Transit,Transiting Exoplanet Survey Satellite (TESS),11.07447293,211.03806225,2.543371,774.0,85.3,3793.0,1,Transit,TESS,True,114.4084690998932,-54.97,-81.69,-177.93,True
TOI-7166 b,TOI-7166,320.6806363,8.8893975,35.4153,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),2.01,4.7,12.92063621,249.0,1.07,3099.0,1,Transit,TESS,True,44.06941697807631,27.07,-22.17,5.47,True
